ID,Country,Region,DataYear,ClassGrade,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Importance_recycling_rubbish,Importance_saving_energy,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Birth_month,Favorite_Season,Allergies,Favorite_Food,Beverage,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Preferred_Status,Role_Model_Type
256,USA,NC,2021,12,17,Right-Handed,165,13.97,47,2,Bus,60,.416,47,1000,980,750,22,Same length,55,55,7,Summer,Yes,Rice/Noodle dishes,Water,7,Yes - broadband connection,Text messaging,100,112,12,2,1,6,0,0,4,24,2,6,48,8,Some,Some college,Rhythm and blues (R&B),Happy,Musician or singer
257,USA,NC,2019,11,16,Right-Handed,173,25,175,2,Car,10,.387,37,400,845,950,25,Same length,76,73,6,Summer,No,No favorite,Water,3,Yes - broadband connection,Internet chat or instant messaging,10,6,6,1,10,5,0,10,7,3,16,5,7,4,Some,Undergraduate degree,Other,Happy,Relative
259,USA,NC,2015,12,15,Right-Handed,157,23,156,2,Bus,60,.402,38,900,1000,1000,22,Right foot,55,55,5,Fall,No,Fruit,Coffee,3,Yes - broadband connection,Cell phone,50,75,0,0,10,21,0,0,25,7,14,0,0,7,A lot,Other,Punk rock,Famous,Musician or singer
260,USA,NC,2013,9,14,Right-Handed,166,29,156,2,Bus,30,2,26,700,600,700,28,Right foot,100,110,7,Summer,No,Desserts,Water,5,Yes - other,In person,7,8,35,2,6,35,6,14,7,7,0,21,0,7,Very little,Some college,Rap/Hip hop,Rich,Relative
262,USA,NC,2021,11,17,Right-Handed,185,28,182,1,Car,12,.73,44,800,750,500,28,Same length,80,80,10,Fall,No,Meat,Energy drink,6,Yes - broadband connection,Text messaging,20,20,7,5,1,3,8,10,0,17,19,1,24,5,Some,Graduate degree,Country,Happy,Musician or singer
263,USA,NC,2022,12,16,Right-Handed,157,22,165,3,Bus,15,.977,47,866,824,658,22,Same length,69,66,12,Summer,Yes,Desserts,Water,4,Yes - broadband connection,Text messaging,23,196,7,0,10,3,3,2,8,2,10,8,0,2,Some,Graduate degree,Pop,Famous,Politician
264,USA,NC,2018,10,15,Right-Handed,170.2,26,178,7,Car,10,.412,41,1000,626,1000,26,Same length,80,85,2,Summer,Yes,Meat,Water,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",75,125,6,3,5,9,16,2,2,2,7,5,0,3,Some,Graduate degree,Rap/Hip hop,Rich,Relative
265,USA,NC,2017,11,15,Right-Handed,170,26,168,2,Car,23,.305,32,700,800,500,25,Right foot,80,85,7,Summer,No,Fruit,Water,4,Yes - broadband connection,In person,3,8,3,1,20,40,7,12,5,1,50,10,0,10,Some,Graduate degree,Pop,Happy,Relative
301,USA,NC,2022,11,16,Right-Handed,175,28,167,1,Bus,4,.364,41,658,187,545,28,Same length,70,70,1,Summer,No,Breads/Sandwiches,Water,5,Yes - other,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Pop,Happy,Relative
305,USA,NC,2015,12,49,Right-Handed,150,12,70,1,Car,15,4.3,28,800,700,599,32,Same length,60,64,3,Summer,Yes,Pizza/Pasta,Juice,4,Yes - broadband connection,Cell phone,4,6,1,1,5,4,1,0,3,1,4,4,40,8,A lot,Other,Country,Healthy,Relative
