ID,Country,Region,Gender,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_saving_energy,Importance_owning_computer,Index_Fingerlength_mm,Ring_Fingerlength_mm,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Superpower,Preferred_Status,Charity_Donation
252,USA,NC,Female,Right-Handed,167,2,Car,7,.356,37,800,800,500,200,70,75,9,Winter,No,No,Rice/Noodle dishes,Water,Science,4,10,3,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,A lot,Graduate degree,Freeze time,Happy,Health
253,USA,NC,Female,Right-Handed,155,1,Walk,12,.468,31,700,550,650,400,79,81,6,Spring,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,8,6,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Some,Undergraduate degree,Fly,Happy,Religious
254,USA,NC,Female,Right-Handed,163,1,Car,4,.921,56,600,600,700,900,32,27,6,Fall,No,No,Fruit,Water,Mathematics and statistics,7,10,4,In person,100,140,20,1,10,5,8,0,6,2,6,5,15,3,Some,Graduate degree,Telepathy,Healthy,International aid
255,USA,NC,Female,Right-Handed,5.5,1,Bus,20,9.263,90,0,10000,500,4,55,55,1,Summer,Yes,No,Poultry,Energy drink,Music,6,12,9,Text messaging,4,4,4,2,4,1,5,0,1,1,0,2,0,1,A lot,Some college,Invisibility,Happy,"Arts, culture, sports"
256,USA,NC,Female,Right-Handed,165,2,Bus,60,.416,47,1000,1000,980,360,55,55,7,Summer,Yes,No,Rice/Noodle dishes,Water,Other,7,11,7,Text messaging,100,112,12,2,1,6,0,0,4,24,2,6,48,8,Some,Some college,Fly,Happy,"Wildlife, animals"
257,USA,NC,Male,Right-Handed,173,2,Car,10,.387,37,840,400,845,700,76,73,6,Summer,No,No,No favorite,Water,Computers and technology,7,9,3,Internet chat or instant messaging,10,6,6,1,10,5,0,10,7,3,16,5,7,4,Some,Undergraduate degree,Freeze time,Happy,International aid
259,USA,NC,Female,Right-Handed,157,2,Bus,60,.402,38,1000,900,1000,1000,55,55,5,Fall,No,No,Fruit,Coffee,Music,5,9,3,Cell phone,50,75,0,0,10,21,0,0,25,7,14,0,0,7,A lot,Other,Telepathy,Famous,"Arts, culture, sports"
260,USA,NC,Male,Right-Handed,166,2,Bus,30,2,26,800,700,600,800,100,110,7,Summer,No,No,Desserts,Water,Physical education,9,8,5,In person,7,8,35,2,6,35,6,14,7,7,0,21,0,7,Very little,Some college,Freeze time,Rich,Other
261,USA,NC,Female,Right-Handed,160,1,Car,7,.781,59,400,400,500,700,79,83,5,Summer,No,No,Desserts,Water,History,6.5,8,5,Text messaging,500,500,16,3,28,21,3,3,28,49,49,7,20,10,A lot,Graduate degree,Invisibility,Rich,Health
262,USA,NC,Male,Right-Handed,185,1,Car,12,.73,44,900,800,750,500,80,80,10,Fall,No,No,Meat,Energy drink,Physical education,5,6,6,Text messaging,20,20,7,5,1,3,8,10,0,17,19,1,24,5,Some,Graduate degree,Super strength,Happy,Health
264,USA,NC,Male,Right-Handed,170.2,7,Car,10,.412,41,784,1000,626,1000,80,85,2,Summer,Yes,No,Meat,Water,Physical education,6,9,4,"Myspace, Facebook, other social networking sites, or blog",75,125,6,3,5,9,16,2,2,2,7,5,0,3,Some,Graduate degree,Fly,Rich,Health
301,USA,NC,Female,Right-Handed,175,1,Bus,4,.364,41,561,658,187,439,70,70,1,Summer,No,No,Breads/Sandwiches,Water,Other,7,11,5,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Fly,Happy,Religious
307,USA,NC,Male,Right-Handed,181,2,Car,10,.235,34,650,500,600,900,35,37,4,Fall,Yes,No,Pizza/Pasta,Water,Science,8,10,4,Internet chat or instant messaging,1,4,6,0,7,1,6,14,0,4,24,6,6,4,Some,Undergraduate degree,Freeze time,Happy,Environment
308,USA,NC,Male,Right-Handed,177,1,Walk,0,.365,43,0,0,0,5,77.5,80,8,Spring,No,No,Meat,Water,Computers and technology,6,11,4,"Myspace, Facebook, other social networking sites, or blog",100,145,112,1,20,5,18,20,40,100,100,10,0,5,A lot,High school,Telepathy,Rich,International aid
309,USA,NC,Male,Right-Handed,180,1,Bus,10,.37,70,1000,1000,599,294,64,51,3,Spring,Yes,Yes,Pizza/Pasta,Water,History,8,6,4,Text messaging,25,31,0,2,2,3,1,0,1,2,0,4,8,1,Some,Undergraduate degree,Telepathy,Famous,Education/Youth development
