ID,ClassGrade,Gender,Footlength_cm,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Favorite_Season,Allergies,Vegetarian,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
253,12,Female,24,Walk,12,.468,31,24,Same length,79,81,Ring finger,Spring,Yes,No,Water,Mathematics and statistics,7,8,6,Yes - broadband connection,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Some,Undergraduate degree,Other,Fly,Happy,Religious figure,Religious
254,12,Female,20,Car,4,.921,56,26,Same length,32,27,Index finger,Fall,No,No,Water,Mathematics and statistics,7,10,4,Yes - broadband connection,In person,100,140,20,1,10,5,8,0,6,2,6,5,15,3,Some,Graduate degree,Other,Telepathy,Healthy,Religious figure,International aid
255,9,Female,10,Bus,20,9.263,90,20,Same length,55,55,Ring finger,Summer,Yes,No,Energy drink,Music,6,12,9,No internet connection,Text messaging,4,4,4,2,4,1,5,0,1,1,0,2,0,1,A lot,Some college,Rap/Hip hop,Invisibility,Happy,Musician or singer,"Arts, culture, sports"
256,12,Female,13.97,Bus,60,.416,47,22,Same length,55,55,Ring finger,Summer,Yes,No,Water,Other,7,11,7,Yes - broadband connection,Text messaging,100,112,12,2,1,6,0,0,4,24,2,6,48,8,Some,Some college,Rhythm and blues (R&B),Fly,Happy,Musician or singer,"Wildlife, animals"
257,11,Male,25,Car,10,.387,37,25,Same length,76,73,Index finger,Summer,No,No,Water,Computers and technology,7,9,3,Yes - broadband connection,Internet chat or instant messaging,10,6,6,1,10,5,0,10,7,3,16,5,7,4,Some,Undergraduate degree,Other,Freeze time,Happy,Relative,International aid
258,10,Male,25,Car,18,.317,31,25,Same length,60,70,Ring finger,Winter,Yes,No,Water,Mathematics and statistics,7,12,4,Yes - broadband connection,E-mail,2,1,1,1,8,8,1,8,0,0,4,2,5,2,A lot,Less than high school,Techno/Electronic,Fly,Rich,Religious figure,International aid
260,9,Male,29,Bus,30,2,26,28,Right foot,100,110,Ring finger,Summer,No,No,Water,Physical education,9,8,5,Yes - other,In person,7,8,35,2,6,35,6,14,7,7,0,21,0,7,Very little,Some college,Rap/Hip hop,Freeze time,Rich,Relative,Other
261,12,Female,23,Car,7,.781,59,22.75,Right foot,79,83,Ring finger,Summer,No,No,Water,History,6.5,8,5,Yes - broadband connection,Text messaging,500,500,16,3,28,21,3,3,28,49,49,7,20,10,A lot,Graduate degree,Pop,Invisibility,Rich,Friend,Health
262,11,Male,28,Car,12,.73,44,28,Same length,80,80,Same length,Fall,No,No,Energy drink,Physical education,5,6,6,Yes - broadband connection,Text messaging,20,20,7,5,1,3,8,10,0,17,19,1,24,5,Some,Graduate degree,Country,Super strength,Happy,Musician or singer,Health
263,12,Female,22,Bus,15,.977,47,22,Same length,69,66,Index finger,Summer,Yes,No,Water,Science,6,9,4,Yes - broadband connection,Text messaging,23,196,7,0,10,3,3,2,8,2,10,8,0,2,Some,Graduate degree,Pop,Freeze time,Famous,Politician,International aid
