Year,Player,School,GradStatus,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Drafted_Round,Drafted_Pick,BMI,Player_Type,Position_Type
2011,Keith Williams\WillKe04,Nebraska,Yes,5.28,62.23,23,236.22,8.42,5.03,6,196,38.7077781,offense,offensive_lineman
2011,Aldon Smith\SmitAl04,Missouri,No,4.74,86.36,20,299.72,7.19,4.5,1,7,32.01303661,defense,defensive_lineman
2011,Allen Bradford\BradAl00,USC,Yes,4.53,73.66,28,287.02,6.97,4.39,6,187,33.75180287,offense,backs_receivers
2011,Aldrick Robinson\RobiAl00,SMU,Yes,4.35,101.6,17,320.04,6.65,4.09,6,178,26.40098013,offense,backs_receivers
2011,Evan Royster\RoysEv00,Penn St.,Yes,4.65,86.36,20,287.02,7.07,4.18,6,177,28.75207386,offense,backs_receivers
2011,Ryan Kerrigan\KerrRy00,Purdue,Yes,4.67,85.09,31,309.88,7.18,4.39,1,16,32.4999269,defense,defensive_lineman
2012,Justin Bethel\BethJu00,Presbyterian,No,4.52,100.33,19,332.74,6.79,4.3,6,177,27.12459798,defense,defensive_back
2012,Charles Mitchell\MitcCh01,Mississippi St.,Yes,4.56,93.98,19,322.58,6.93,4.22,6,192,28.17299248,defense,defensive_back
2012,Stephon Gilmore\GilmSt00,South Carolina,No,4.38,91.44,15,312.42,6.61,3.94,1,10,25.76836808,defense,defensive_back
2012,Luke Kuechly\KuecLu00,Boston Col.,No,4.58,96.52,27,312.42,6.92,4.12,1,9,30.24761569,defense,line_backer
2012,Shea McClellin\McClSh00,Boise St.,Yes,4.62,80.01,19,299.72,7.07,4.33,1,19,32.49743835,defense,line_backer
2012,Kevin Zeitler\ZeitKe00,Wisconsin,No,5.32,73.66,32,256.54,7.77,4.61,1,27,38.22088781,offense,offensive_lineman
2012,Dan Herron\HerrDa00,Ohio St.,Yes,4.57,88.9,22,297.18,6.97,4.04,6,191,30.56200418,offense,backs_receivers
2012,Billy Winn\WinnBi00,Boise St.,Yes,4.86,68.58,24,271.78,7.37,4.44,6,205,35.78643636,defense,defensive_lineman
2012,James Hanna\HannJa00,Oklahoma,Yes,4.43,91.44,24,309.88,6.76,4.11,6,186,30.67408831,offense,backs_receivers
2012,Riley Reiff\ReifRi00,Iowa,Yes,5.16,67.31,23,248.92,7.87,4.75,1,23,36.17041066,offense,offensive_lineman
2012,Nick Perry\PerrNi00,USC,No,4.55,97.79,35,314.96,7.25,4.66,1,28,33.87232997,defense,defensive_lineman
2012,Whitney Mercilus\MercWh00,Illinois,No,4.68,81.28,27,299.72,7.17,4.53,1,26,31.76959146,defense,defensive_lineman
2012,Dontari Poe\PoexDo00,Memphis,No,4.89,74.93,44,266.7,7.9,4.56,1,11,43.24659103,defense,defensive_lineman
2012,Melvin Ingram\IngrMe00,South Carolina,Yes,4.69,87.63,28,276.86,6.83,4.18,1,18,34.83024377,defense,line_backer
2012,Harrison Smith\SmitHa00,Notre Dame,Yes,4.54,86.36,19,309.88,6.63,4.12,1,29,27.34730103,defense,defensive_back
2012,Chandler Jones\JoneCh03,Syracuse,Yes,4.77,88.9,22,304.8,7.07,4.38,1,21,31.542673,defense,defensive_lineman
2012,Andrew Tiller\TillAn01,Syracuse,Yes,5.44,58.42,16,215.9,7.92,4.8,6,179,39.43811354,offense,offensive_lineman
2012,Quinton Coples\CoplQu00,North Carolina,No,4.69,80.01,25,276.86,7.57,4.78,1,16,32.81915855,defense,defensive_lineman
